2022-07-22 22:42:54,723: 'f'
2022-07-22 22:42:54,784: 'u'
2022-07-22 22:42:54,847: 'd'
2022-07-22 22:42:54,967: 'y'
2022-07-22 22:42:54,992: 'd'
2022-07-22 22:42:55,116: 'y'
2022-07-22 22:42:55,946: Key.enter
2022-07-22 22:42:56,397: 'k'
2022-07-22 22:42:56,437: 'h'
2022-07-22 22:42:56,526: 'g'
2022-07-22 22:42:56,681: 'f'
2022-07-22 22:42:56,781: 'u'
2022-07-22 22:42:56,794: 't'
2022-07-22 22:42:56,849: 'f'
2022-07-22 22:42:56,950: 'u'
2022-07-22 22:42:57,005: 'y'
2022-07-22 22:42:57,344: Key.enter
2022-07-22 22:42:57,798: 'j'
2022-07-22 22:42:57,822: 'l'
2022-07-22 22:42:58,016: 'o'
2022-07-22 22:42:58,030: 'u'
2022-07-22 22:42:58,093: 'g'
2022-07-22 22:42:58,199: 'u'
2022-07-22 22:42:58,211: 'o'
2022-07-22 22:42:58,278: 'g'
2022-07-22 22:42:58,615: Key.enter
2022-07-22 22:43:07,175: Key.esc
2022-07-22 22:44:48,926: Key.enter
2022-07-22 22:44:49,126: Key.enter
2022-07-22 22:44:49,295: Key.enter
2022-07-22 22:44:49,578: 'j'
2022-07-22 22:44:49,614: 'b'
2022-07-22 22:44:49,738: 'j'
2022-07-22 22:44:49,748: 'h'
2022-07-22 22:44:49,818: 'f'
2022-07-22 22:44:49,999: 'f'
2022-07-22 22:44:50,277: Key.enter
2022-07-22 22:44:50,493: Key.enter
2022-07-22 22:44:50,765: 'k'
2022-07-22 22:44:50,833: 'h'
2022-07-22 22:44:50,980: 'u'
2022-07-22 22:44:51,031: 'h'
2022-07-22 22:44:51,115: 'o'
2022-07-22 22:44:51,157: 'u'
2022-07-22 22:44:51,416: Key.enter
2022-07-22 22:44:51,832: 'k'
2022-07-22 22:44:51,853: 'n'
2022-07-22 22:44:52,001: 'h'
2022-07-22 22:44:52,169: 'h'
2022-07-22 22:44:52,519: Key.enter
2022-07-22 22:44:53,004: 'o'
2022-07-22 22:44:53,021: 'u'
2022-07-22 22:44:53,085: 'h'
2022-07-22 22:44:53,236: 'u'
2022-07-22 22:44:53,259: 'h'
2022-07-22 22:44:53,552: Key.enter
2022-07-22 22:44:53,906: 'n'
2022-07-22 22:44:54,039: 'o'
2022-07-22 22:44:54,039: 'u'
2022-07-22 22:44:54,222: 'u'
2022-07-22 22:44:54,222: 'o'
2022-07-22 22:44:54,569: Key.enter
2022-07-22 22:44:54,907: 'n'
2022-07-22 22:44:55,062: 'u'
2022-07-22 22:44:55,239: 'u'
2022-07-22 22:44:55,602: Key.enter
2022-07-22 22:44:56,108: 'u'
2022-07-22 22:44:56,290: 'u'
2022-07-22 22:44:56,626: Key.enter
2022-07-22 22:45:09,239: Key.esc
